16767,38,2,"0.9","04",3001,"21",,23.79,"PRVI ULAZ",704091,45296,"30",,
16768,39,2,"1.0","04",3001,"22",,45.45,"PRVI ULAZ",704091,45296,"30",,
16769,40,2,"1.0","04",3001,"23",,45.45,"PRVI ULAZ,POTKROVQE",704091,45296,"30",,
16770,19,2,"0.9","03",3001,"18",,19.75,"SA PODRUMOM",704091,45741,"2",,
16771,20,2,"1.0","03",3001,"19",,41.76,,704091,45741,"2",,
16772,21,2,"2.0","03",3001,"20",,54.02,"SA PODRUMOM",704091,45741,"2",,
16773,22,2,"1.0","03",3001,"21",,22.49,,704091,45741,"2",,
16774,41,2,"0.9","04",3001,"24",,42.83,"PRVI ULAZ,NADGRADWA",704091,45296,"30",,
16775,23,2,"1.0","03",3001,"22",,40.46,"SA PODRUMOM",704091,45741,"2",,
16778,1,2,,"PR",3003,"BB",,131.33,"PARKING MESTO",704091,45281,"12",,
16779,2,2,"2.0","01",3001,"1",,51.17,,704091,45281,"12",,
16780,1,7,"0.2","PR",3001,"BB",,,"DVIJE SOBE PREDSOBQE KUPATILO SA VC",704091,45362,"41",,
16781,3,2,"3.0","01",3001,"2",,59.51,,704091,45281,"12",,
16782,2,7,"0.1","PR",3001,"BB",,,"PROLAZNA TERASA NAD GARA@OM I JEDNOM SOBOM",704091,45362,"41",,
16783,4,2,"1.0","01",3001,"3",,33.31,,704091,45281,"12",,
16784,5,2,"3.0","01",3001,"4",,78.92,,704091,45281,"12",,
16785,6,2,"0.9","01",3001,"5",,26.91,,704091,45281,"12",,
16786,7,2,"2.0","02",3001,"6",,51.17,,704091,45281,"12",,
16787,8,2,"3.0","02",3001,"7",,59.51,,704091,45281,"12",,
16788,9,2,"1.0","02",3001,"8",,33.31,,704091,45281,"12",,
16789,10,2,"3.0","02",3001,"9",,78.92,,704091,45281,"12",,
16790,11,2,"0.9","02",3001,"10",,26.91,,704091,45281,"12",,
16791,12,2,"2.0","PK",3001,"11",,58.52,,704091,45281,"12",,
16792,13,2,"2.0","PK",3001,"12",,61.22,,704091,45281,"12",,
16793,14,2,,"PR",3003,"BB",,47.69,"PARKING MESTO",704091,45281,"12",,
16798,42,2,"0.9","04",3001,"19",,22.00,"DRUGI ULAZ",704091,45296,"30",,
16800,43,2,"4.0","04",3001,"20",,98.00,"DRUGI ULAZ",704091,45296,"30",,
16802,44,2,"0.9","01",3001,"21",,33.00,"DRUGI ULAZ",704091,45296,"30",,
16803,45,2,"1.0","04",3001,"22",,40.00,"DRUGI ULAZ",704091,45296,"30",,
16805,46,2,"0.3","04",3001,"23",,45.00,"DRUGI ULAZ",704091,45296,"30",,
16806,47,2,"0.9","04",3001,"24",,33.00,"DRUGI ULAZ",704091,45296,"30",,
16807,48,7,,,3003,"1",,,,704091,45296,"30",,
16808,49,7,,,3003,"2",,,,704091,45296,"30",,
16809,50,7,,,3003,"3",,,,704091,45296,"30",,
16810,51,7,,,3003,"4",,,,704091,45296,"30",,
16812,1,7,"0.9","PR",3001,"BB",,,"JEDANA SOBA",704091,45379,"5",,
16813,2,7,"0.1","PR",3001,"BB",,,"JEDNA SOBA",704091,45379,"5",,
16814,3,7,"0.1","PR",3001,"BB",,,"JEDNA SOBA",704091,45379,"5",,
16817,1,2,,"PR",3992,"BB",,47.00,,704091,45379,"14","A",
16818,2,2,"2.0","01",3001,"BB",,55.57,,704091,45379,"14","A",
16819,1,2,,"PR",3992,"BB",,20.50,"LOKAL OD OSTAVE I MAGACINA OD 29.40m2  U SUTERENU",704091,45267,"11",,
16820,3,2,,"PR",3992,"BB",,75.00,"LOKAL ",704091,45267,"11",,
16821,4,2,,"PR",3001,"1",,30.00,"KOMBINOVANE SOBE,KUHIWE,KUPATILA,PREDSOBQA I TERAS",704091,45267,"11",,
16822,5,2,"1.0","01",3001,"2",,33.00,"SA OSTAVOM",704091,45267,"11",,
16823,6,2,,"01",3001,"3",,35.00,,704091,45267,"11",,
16824,7,2,"3.5","01",3001,"4",,76.00,"SA OSTAVOM",704091,45267,"11",,
16825,8,2,,"02",3001,"5",,33.00,"SA OSTAVOM",704091,45267,"11",,
